index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
230,2.0,1.0,7.0,33.0,-9.550000000000001e-10,1.04e-09,4.2270000000000006e-11,25.0,1
231,2.0,1.0,7.0,36.0,-9.547e-10,1.04e-09,4.2579999999999997e-11,25.0,1
232,2.0,1.0,8.0,18.0,-9.53e-10,1.04e-09,4.3409999999999995e-11,25.0,1
233,2.0,1.0,8.0,21.0,-9.536e-10,1.04e-09,4.3e-11,25.0,1
234,2.0,1.0,8.0,24.0,-9.538e-10,1.04e-09,4.286e-11,25.0,1
235,2.0,1.0,8.0,27.0,-9.538e-10,1.04e-09,4.289e-11,25.0,1
236,2.0,1.0,8.0,30.0,-9.537000000000001e-10,1.04e-09,4.3020000000000004e-11,25.0,1
237,2.0,1.0,8.0,33.0,-9.535e-10,1.04e-09,4.3219999999999994e-11,25.0,1
238,2.0,1.0,8.0,36.0,-9.533e-10,1.04e-09,4.346e-11,25.0,1
239,2.0,1.0,9.0,18.0,-9.512000000000002e-10,1.041e-09,4.477e-11,25.0,1
240,2.0,1.0,9.0,21.0,-9.517000000000001e-10,1.04e-09,4.43e-11,25.0,1
241,2.0,1.0,9.0,24.0,-9.52e-10,1.04e-09,4.411e-11,25.0,1
242,2.0,1.0,9.0,27.0,-9.521e-10,1.04e-09,4.408e-11,25.0,1
243,2.0,1.0,9.0,30.0,-9.52e-10,1.04e-09,4.416e-11,25.0,1
244,2.0,1.0,9.0,33.0,-9.519e-10,1.04e-09,4.431e-11,25.0,1
245,2.0,1.0,9.0,36.0,-9.517000000000001e-10,1.041e-09,4.451e-11,25.0,1
246,2.0,2.0,3.0,18.0,-9.604e-10,1.039e-09,3.9310000000000004e-11,25.0,1
247,2.0,2.0,3.0,21.0,-9.602999999999999e-10,1.039e-09,3.9570000000000005e-11,25.0,1
248,2.0,2.0,3.0,24.0,-9.599e-10,1.04e-09,4.005e-11,25.0,1
249,2.0,2.0,3.0,27.0,-9.594e-10,1.041e-09,4.0700000000000006e-11,25.0,1
250,2.0,2.0,3.0,30.0,-9.587e-10,1.042e-09,4.145e-11,25.0,1
251,2.0,2.0,3.0,33.0,-9.58e-10,1.042e-09,4.2249999999999996e-11,25.0,1
252,2.0,2.0,3.0,36.0,-9.572e-10,1.043e-09,4.311e-11,25.0,1
253,2.0,2.0,4.0,18.0,-9.611e-10,1.038e-09,3.826e-11,25.0,1
254,2.0,2.0,4.0,21.0,-9.613e-10,1.038e-09,3.824e-11,25.0,1
255,2.0,2.0,4.0,24.0,-9.611e-10,1.038e-09,3.846e-11,25.0,1
256,2.0,2.0,4.0,27.0,-9.608999999999999e-10,1.039e-09,3.8829999999999997e-11,25.0,1
257,2.0,2.0,4.0,30.0,-9.604e-10,1.039e-09,3.9310000000000004e-11,25.0,1
258,2.0,2.0,4.0,33.0,-9.6e-10,1.04e-09,3.985e-11,25.0,1
259,2.0,2.0,4.0,36.0,-9.594e-10,1.04e-09,4.045e-11,25.0,1
260,2.0,2.0,5.0,18.0,-9.611e-10,1.037e-09,3.795e-11,25.0,1
261,2.0,2.0,5.0,21.0,-9.614e-10,1.037e-09,3.777e-11,25.0,1
262,2.0,2.0,5.0,24.0,-9.615e-10,1.037e-09,3.783e-11,25.0,1
263,2.0,2.0,5.0,27.0,-9.613e-10,1.037e-09,3.806e-11,25.0,1
