index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
59,2.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,35.0,35.0,3.899e-11,3.638e-11,3.769e-11,25.0,1
60,2.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,37.0,37.0,3.906e-11,3.648e-11,3.777e-11,25.0,1
61,2.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,33.0,33.0,3.96e-11,3.674e-11,3.817e-11,25.0,1
62,2.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,35.0,35.0,3.961e-11,3.68e-11,3.821e-11,25.0,1
63,2.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,37.0,37.0,3.963e-11,3.688e-11,3.826e-11,25.0,1
64,2.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,33.0,33.0,3.81e-11,3.568e-11,3.689e-11,25.0,1
65,2.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,35.0,35.0,3.819e-11,3.581e-11,3.7e-11,25.0,1
66,2.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,37.0,37.0,3.829e-11,3.596e-11,3.713e-11,25.0,1
67,2.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,33.0,33.0,3.802e-11,3.546e-11,3.674e-11,25.0,1
68,2.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,35.0,35.0,3.806e-11,3.555e-11,3.68e-11,25.0,1
69,2.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,37.0,37.0,3.811e-11,3.563e-11,3.687e-11,25.0,1
70,2.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,33.0,33.0,3.827e-11,3.557e-11,3.692e-11,25.0,1
71,2.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,35.0,35.0,3.824e-11,3.562e-11,3.693e-11,25.0,1
72,2.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,37.0,37.0,3.827e-11,3.569e-11,3.698e-11,25.0,1
