index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
85,1.0,1.0,2.0,2.0,6.0,31.0,5.069e-11,6.295e-11,5.682e-11,25.0,1
86,1.0,1.0,2.0,2.0,6.0,34.0,5.044e-11,6.302e-11,5.673e-11,25.0,1
87,1.0,1.0,2.0,2.0,6.0,37.0,5.033e-11,6.316e-11,5.674e-11,25.0,1
88,1.0,1.0,2.0,2.0,6.0,40.0,5.034e-11,6.338e-11,5.686e-11,25.0,1
89,1.0,1.0,2.0,2.0,6.0,43.0,5.044e-11,6.364e-11,5.704e-11,25.0,1
90,1.0,1.0,2.0,2.0,6.0,46.0,5.06e-11,6.395e-11,5.727e-11,25.0,1
91,1.0,1.0,2.0,2.0,6.0,49.0,5.082e-11,6.429e-11,5.755e-11,25.0,1
92,1.0,1.0,2.0,2.0,8.0,31.0,5.038e-11,6.254e-11,5.646e-11,25.0,1
93,1.0,1.0,2.0,2.0,8.0,34.0,4.998e-11,6.245e-11,5.621e-11,25.0,1
94,1.0,1.0,2.0,2.0,8.0,37.0,4.974e-11,6.245e-11,5.61e-11,25.0,1
95,1.0,1.0,2.0,2.0,8.0,40.0,4.962e-11,6.253e-11,5.607e-11,25.0,1
96,1.0,1.0,2.0,2.0,8.0,43.0,4.958e-11,6.265e-11,5.611e-11,25.0,1
97,1.0,1.0,2.0,2.0,8.0,46.0,4.961e-11,6.282e-11,5.621e-11,25.0,1
98,1.0,1.0,2.0,2.0,8.0,49.0,4.97e-11,6.301e-11,5.636e-11,25.0,1
99,1.0,1.0,2.0,2.0,10.0,31.0,5.069e-11,6.279e-11,5.674e-11,25.0,1
100,1.0,1.0,2.0,2.0,10.0,34.0,5.021e-11,6.261e-11,5.641e-11,25.0,1
101,1.0,1.0,2.0,2.0,10.0,37.0,4.989e-11,6.252e-11,5.62e-11,25.0,1
102,1.0,1.0,2.0,2.0,10.0,40.0,4.968e-11,6.251e-11,5.609e-11,25.0,1
103,1.0,1.0,2.0,2.0,10.0,43.0,4.957e-11,6.255e-11,5.606e-11,25.0,1
104,1.0,1.0,2.0,2.0,10.0,46.0,4.953e-11,6.263e-11,5.608e-11,25.0,1
105,1.0,1.0,2.0,2.0,10.0,49.0,4.955e-11,6.275e-11,5.615e-11,25.0,1
106,1.0,1.0,2.0,3.0,6.0,31.0,5.027e-11,6.323e-11,5.675e-11,25.0,1
107,1.0,1.0,2.0,3.0,6.0,34.0,5.001e-11,6.328e-11,5.664e-11,25.0,1
108,1.0,1.0,2.0,3.0,6.0,37.0,4.989e-11,6.343e-11,5.666e-11,25.0,1
109,1.0,1.0,2.0,3.0,6.0,40.0,4.99e-11,6.364e-11,5.677e-11,25.0,1
110,1.0,1.0,2.0,3.0,6.0,43.0,4.998e-11,6.391e-11,5.695e-11,25.0,1
111,1.0,1.0,2.0,3.0,6.0,46.0,5.014e-11,6.421e-11,5.718e-11,25.0,1
112,1.0,1.0,2.0,3.0,6.0,49.0,5.035e-11,6.455e-11,5.745e-11,25.0,1
113,1.0,1.0,2.0,3.0,8.0,31.0,4.953e-11,6.242e-11,5.598e-11,25.0,1
114,1.0,1.0,2.0,3.0,8.0,34.0,4.911e-11,6.232e-11,5.572e-11,25.0,1
115,1.0,1.0,2.0,3.0,8.0,37.0,4.886e-11,6.232e-11,5.559e-11,25.0,1
116,1.0,1.0,2.0,3.0,8.0,40.0,4.872e-11,6.239e-11,5.555e-11,25.0,1
117,1.0,1.0,2.0,3.0,8.0,43.0,4.867e-11,6.251e-11,5.559e-11,25.0,1
118,1.0,1.0,2.0,3.0,8.0,46.0,4.87e-11,6.267e-11,5.568e-11,25.0,1
119,1.0,1.0,2.0,3.0,8.0,49.0,4.877e-11,6.286e-11,5.582e-11,25.0,1
120,1.0,1.0,2.0,3.0,10.0,31.0,4.942e-11,6.231e-11,5.587e-11,25.0,1
121,1.0,1.0,2.0,3.0,10.0,34.0,4.892e-11,6.212e-11,5.552e-11,25.0,1
122,1.0,1.0,2.0,3.0,10.0,37.0,4.858e-11,6.202e-11,5.53e-11,25.0,1
123,1.0,1.0,2.0,3.0,10.0,40.0,4.836e-11,6.2e-11,5.518e-11,25.0,1
124,1.0,1.0,2.0,3.0,10.0,43.0,4.823e-11,6.203e-11,5.513e-11,25.0,1
125,1.0,1.0,2.0,3.0,10.0,46.0,4.817e-11,6.211e-11,5.514e-11,25.0,1
126,1.0,1.0,2.0,3.0,10.0,49.0,4.818e-11,6.222e-11,5.52e-11,25.0,1
127,1.0,2.0,1.0,1.0,6.0,31.0,4.818e-11,5.383e-11,5.1e-11,25.0,1
128,1.0,2.0,1.0,1.0,6.0,34.0,4.797e-11,5.39e-11,5.093e-11,25.0,1
129,1.0,2.0,1.0,1.0,6.0,37.0,4.789e-11,5.406e-11,5.097e-11,25.0,1
130,1.0,2.0,1.0,1.0,6.0,40.0,4.793e-11,5.429e-11,5.111e-11,25.0,1
131,1.0,2.0,1.0,1.0,6.0,43.0,4.806e-11,5.457e-11,5.131e-11,25.0,1
132,1.0,2.0,1.0,1.0,6.0,46.0,4.824e-11,5.488e-11,5.156e-11,25.0,1
133,1.0,2.0,1.0,1.0,6.0,49.0,4.848e-11,5.523e-11,5.185e-11,25.0,1
134,1.0,2.0,1.0,1.0,8.0,31.0,4.917e-11,5.455e-11,5.186e-11,25.0,1
135,1.0,2.0,1.0,1.0,8.0,34.0,4.881e-11,5.448e-11,5.165e-11,25.0,1
136,1.0,2.0,1.0,1.0,8.0,37.0,4.861e-11,5.451e-11,5.156e-11,25.0,1
137,1.0,2.0,1.0,1.0,8.0,40.0,4.852e-11,5.46e-11,5.156e-11,25.0,1
138,1.0,2.0,1.0,1.0,8.0,43.0,4.853e-11,5.474e-11,5.164e-11,25.0,1
139,1.0,2.0,1.0,1.0,8.0,46.0,4.859e-11,5.493e-11,5.176e-11,25.0,1
140,1.0,2.0,1.0,1.0,8.0,49.0,4.871e-11,5.515e-11,5.193e-11,25.0,1
141,1.0,2.0,1.0,1.0,10.0,31.0,5.08e-11,5.59e-11,5.335e-11,25.0,1
142,1.0,2.0,1.0,1.0,10.0,34.0,5.035e-11,5.574e-11,5.304e-11,25.0,1
143,1.0,2.0,1.0,1.0,10.0,37.0,5.006e-11,5.569e-11,5.287e-11,25.0,1
144,1.0,2.0,1.0,1.0,10.0,40.0,4.989e-11,5.569e-11,5.279e-11,25.0,1
145,1.0,2.0,1.0,1.0,10.0,43.0,4.982e-11,5.576e-11,5.279e-11,25.0,1
146,1.0,2.0,1.0,1.0,10.0,46.0,4.981e-11,5.587e-11,5.284e-11,25.0,1
147,1.0,2.0,1.0,1.0,10.0,49.0,4.987e-11,5.601e-11,5.294e-11,25.0,1
148,1.0,2.0,1.0,2.0,6.0,31.0,4.52e-11,5.292e-11,4.906e-11,25.0,1
149,1.0,2.0,1.0,2.0,6.0,34.0,4.494e-11,5.297e-11,4.896e-11,25.0,1
150,1.0,2.0,1.0,2.0,6.0,37.0,4.484e-11,5.312e-11,4.898e-11,25.0,1
151,1.0,2.0,1.0,2.0,6.0,40.0,4.485e-11,5.334e-11,4.909e-11,25.0,1
152,1.0,2.0,1.0,2.0,6.0,43.0,4.494e-11,5.36e-11,4.927e-11,25.0,1
153,1.0,2.0,1.0,2.0,6.0,46.0,4.511e-11,5.39e-11,4.95e-11,25.0,1
154,1.0,2.0,1.0,2.0,6.0,49.0,4.532e-11,5.425e-11,4.978e-11,25.0,1
155,1.0,2.0,1.0,2.0,8.0,31.0,4.492e-11,5.26e-11,4.876e-11,25.0,1
156,1.0,2.0,1.0,2.0,8.0,34.0,4.452e-11,5.25e-11,4.851e-11,25.0,1
157,1.0,2.0,1.0,2.0,8.0,37.0,4.427e-11,5.251e-11,4.839e-11,25.0,1
158,1.0,2.0,1.0,2.0,8.0,40.0,4.415e-11,5.258e-11,4.837e-11,25.0,1
159,1.0,2.0,1.0,2.0,8.0,43.0,4.412e-11,5.27e-11,4.841e-11,25.0,1
160,1.0,2.0,1.0,2.0,8.0,46.0,4.415e-11,5.286e-11,4.85e-11,25.0,1
161,1.0,2.0,1.0,2.0,8.0,49.0,4.424e-11,5.306e-11,4.865e-11,25.0,1
162,1.0,2.0,1.0,2.0,10.0,31.0,4.525e-11,5.292e-11,4.909e-11,25.0,1
163,1.0,2.0,1.0,2.0,10.0,34.0,4.477e-11,5.274e-11,4.876e-11,25.0,1
164,1.0,2.0,1.0,2.0,10.0,37.0,4.444e-11,5.266e-11,4.855e-11,25.0,1
165,1.0,2.0,1.0,2.0,10.0,40.0,4.424e-11,5.263e-11,4.844e-11,25.0,1
166,1.0,2.0,1.0,2.0,10.0,43.0,4.413e-11,5.268e-11,4.84e-11,25.0,1
167,1.0,2.0,1.0,2.0,10.0,46.0,4.409e-11,5.276e-11,4.842e-11,25.0,1
168,1.0,2.0,1.0,2.0,10.0,49.0,4.411e-11,5.288e-11,4.849e-11,25.0,1
