index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
93,3.0,3.0,2.0,3.0,13.0,51.0,8.405e-11,9.049e-11,8.727e-11,25.0,1
94,3.0,3.0,2.0,3.0,13.0,54.0,8.405e-11,9.057e-11,8.731e-11,25.0,1
95,3.0,3.0,2.0,3.0,13.0,57.0,8.409e-11,9.067e-11,8.738e-11,25.0,1
96,3.0,3.0,2.0,3.0,13.0,60.0,8.415e-11,9.078e-11,8.747e-11,25.0,1
97,3.0,3.0,2.0,3.0,13.0,63.0,8.423e-11,9.09e-11,8.757e-11,25.0,1
98,3.0,3.0,2.0,3.0,13.0,66.0,8.433e-11,9.106e-11,8.769e-11,25.0,1
99,3.0,3.0,2.0,3.0,15.0,48.0,8.435e-11,9.069e-11,8.752e-11,25.0,1
100,3.0,3.0,2.0,3.0,15.0,51.0,8.428e-11,9.07e-11,8.749e-11,25.0,1
101,3.0,3.0,2.0,3.0,15.0,54.0,8.425e-11,9.076e-11,8.75e-11,25.0,1
102,3.0,3.0,2.0,3.0,15.0,57.0,8.426e-11,9.082e-11,8.754e-11,25.0,1
103,3.0,3.0,2.0,3.0,15.0,60.0,8.429e-11,9.09e-11,8.759e-11,25.0,1
104,3.0,3.0,2.0,3.0,15.0,63.0,8.434e-11,9.099e-11,8.766e-11,25.0,1
105,3.0,3.0,2.0,3.0,15.0,66.0,8.441e-11,9.11e-11,8.776e-11,25.0,1
106,3.0,3.0,2.0,4.0,11.0,48.0,8.362e-11,9.062e-11,8.712e-11,25.0,1
107,3.0,3.0,2.0,4.0,11.0,51.0,8.361e-11,9.072e-11,8.717e-11,25.0,1
108,3.0,3.0,2.0,4.0,11.0,54.0,8.365e-11,9.083e-11,8.724e-11,25.0,1
109,3.0,3.0,2.0,4.0,11.0,57.0,8.372e-11,9.099e-11,8.735e-11,25.0,1
110,3.0,3.0,2.0,4.0,11.0,60.0,8.381e-11,9.114e-11,8.748e-11,25.0,1
111,3.0,3.0,2.0,4.0,11.0,63.0,8.393e-11,9.131e-11,8.762e-11,25.0,1
112,3.0,3.0,2.0,4.0,11.0,66.0,8.406e-11,9.15e-11,8.778e-11,25.0,1
113,3.0,3.0,2.0,4.0,13.0,48.0,8.346e-11,9.047e-11,8.696e-11,25.0,1
114,3.0,3.0,2.0,4.0,13.0,51.0,8.341e-11,9.052e-11,8.697e-11,25.0,1
115,3.0,3.0,2.0,4.0,13.0,54.0,8.34e-11,9.06e-11,8.7e-11,25.0,1
116,3.0,3.0,2.0,4.0,13.0,57.0,8.343e-11,9.07e-11,8.707e-11,25.0,1
117,3.0,3.0,2.0,4.0,13.0,60.0,8.349e-11,9.079e-11,8.714e-11,25.0,1
118,3.0,3.0,2.0,4.0,13.0,63.0,8.356e-11,9.092e-11,8.724e-11,25.0,1
119,3.0,3.0,2.0,4.0,13.0,66.0,8.365e-11,9.106e-11,8.736e-11,25.0,1
120,3.0,3.0,2.0,4.0,15.0,48.0,8.351e-11,9.054e-11,8.702e-11,25.0,1
121,3.0,3.0,2.0,4.0,15.0,51.0,8.343e-11,9.056e-11,8.7e-11,25.0,1
122,3.0,3.0,2.0,4.0,15.0,54.0,8.34e-11,9.061e-11,8.7e-11,25.0,1
123,3.0,3.0,2.0,4.0,15.0,57.0,8.339e-11,9.067e-11,8.703e-11,25.0,1
124,3.0,3.0,2.0,4.0,15.0,60.0,8.341e-11,9.074e-11,8.708e-11,25.0,1
125,3.0,3.0,2.0,4.0,15.0,63.0,8.346e-11,9.083e-11,8.715e-11,25.0,1
126,3.0,3.0,2.0,4.0,15.0,66.0,8.352e-11,9.093e-11,8.723e-11,25.0,1
127,3.0,4.0,1.0,2.0,11.0,48.0,6.237e-11,6.877e-11,6.557e-11,25.0,1
128,3.0,4.0,1.0,2.0,11.0,51.0,6.239e-11,6.887e-11,6.563e-11,25.0,1
129,3.0,4.0,1.0,2.0,11.0,54.0,6.245e-11,6.899e-11,6.572e-11,25.0,1
130,3.0,4.0,1.0,2.0,11.0,57.0,6.254e-11,6.914e-11,6.584e-11,25.0,1
131,3.0,4.0,1.0,2.0,11.0,60.0,6.265e-11,6.932e-11,6.598e-11,25.0,1
132,3.0,4.0,1.0,2.0,11.0,63.0,6.278e-11,6.95e-11,6.614e-11,25.0,1
133,3.0,4.0,1.0,2.0,11.0,66.0,6.293e-11,6.968e-11,6.631e-11,25.0,1
134,3.0,4.0,1.0,2.0,13.0,48.0,6.286e-11,6.922e-11,6.604e-11,25.0,1
135,3.0,4.0,1.0,2.0,13.0,51.0,6.284e-11,6.928e-11,6.606e-11,25.0,1
136,3.0,4.0,1.0,2.0,13.0,54.0,6.286e-11,6.936e-11,6.611e-11,25.0,1
137,3.0,4.0,1.0,2.0,13.0,57.0,6.291e-11,6.947e-11,6.619e-11,25.0,1
138,3.0,4.0,1.0,2.0,13.0,60.0,6.298e-11,6.959e-11,6.629e-11,25.0,1
139,3.0,4.0,1.0,2.0,13.0,63.0,6.307e-11,6.973e-11,6.64e-11,25.0,1
140,3.0,4.0,1.0,2.0,13.0,66.0,6.318e-11,6.987e-11,6.653e-11,25.0,1
141,3.0,4.0,1.0,2.0,15.0,48.0,6.356e-11,6.986e-11,6.671e-11,25.0,1
142,3.0,4.0,1.0,2.0,15.0,51.0,6.351e-11,6.989e-11,6.67e-11,25.0,1
143,3.0,4.0,1.0,2.0,15.0,54.0,6.349e-11,6.994e-11,6.671e-11,25.0,1
144,3.0,4.0,1.0,2.0,15.0,57.0,6.351e-11,7.001e-11,6.676e-11,25.0,1
145,3.0,4.0,1.0,2.0,15.0,60.0,6.356e-11,7.011e-11,6.683e-11,25.0,1
146,3.0,4.0,1.0,2.0,15.0,63.0,6.362e-11,7.021e-11,6.691e-11,25.0,1
147,3.0,4.0,1.0,2.0,15.0,66.0,6.371e-11,7.032e-11,6.701e-11,25.0,1
148,3.0,4.0,1.0,3.0,11.0,48.0,6.115e-11,6.934e-11,6.524e-11,25.0,1
149,3.0,4.0,1.0,3.0,11.0,51.0,6.115e-11,6.944e-11,6.53e-11,25.0,1
150,3.0,4.0,1.0,3.0,11.0,54.0,6.12e-11,6.955e-11,6.538e-11,25.0,1
151,3.0,4.0,1.0,3.0,11.0,57.0,6.127e-11,6.97e-11,6.549e-11,25.0,1
152,3.0,4.0,1.0,3.0,11.0,60.0,6.137e-11,6.986e-11,6.562e-11,25.0,1
153,3.0,4.0,1.0,3.0,11.0,63.0,6.15e-11,7.003e-11,6.576e-11,25.0,1
154,3.0,4.0,1.0,3.0,11.0,66.0,6.163e-11,7.021e-11,6.592e-11,25.0,1
155,3.0,4.0,1.0,3.0,13.0,48.0,6.122e-11,6.946e-11,6.534e-11,25.0,1
156,3.0,4.0,1.0,3.0,13.0,51.0,6.119e-11,6.951e-11,6.535e-11,25.0,1
157,3.0,4.0,1.0,3.0,13.0,54.0,6.119e-11,6.958e-11,6.538e-11,25.0,1
158,3.0,4.0,1.0,3.0,13.0,57.0,6.123e-11,6.967e-11,6.545e-11,25.0,1
159,3.0,4.0,1.0,3.0,13.0,60.0,6.128e-11,6.979e-11,6.554e-11,25.0,1
160,3.0,4.0,1.0,3.0,13.0,63.0,6.136e-11,6.992e-11,6.564e-11,25.0,1
161,3.0,4.0,1.0,3.0,13.0,66.0,6.146e-11,7.005e-11,6.576e-11,25.0,1
162,3.0,4.0,1.0,3.0,15.0,48.0,6.15e-11,6.978e-11,6.564e-11,25.0,1
163,3.0,4.0,1.0,3.0,15.0,51.0,6.143e-11,6.98e-11,6.561e-11,25.0,1
164,3.0,4.0,1.0,3.0,15.0,54.0,6.141e-11,6.983e-11,6.562e-11,25.0,1
165,3.0,4.0,1.0,3.0,15.0,57.0,6.141e-11,6.99e-11,6.565e-11,25.0,1
166,3.0,4.0,1.0,3.0,15.0,60.0,6.144e-11,6.998e-11,6.571e-11,25.0,1
167,3.0,4.0,1.0,3.0,15.0,63.0,6.149e-11,7.007e-11,6.578e-11,25.0,1
168,3.0,4.0,1.0,3.0,15.0,66.0,6.156e-11,7.018e-11,6.587e-11,25.0,1
169,3.0,4.0,1.0,4.0,11.0,48.0,6.114e-11,7.111e-11,6.612e-11,25.0,1
170,3.0,4.0,1.0,4.0,11.0,51.0,6.114e-11,7.119e-11,6.616e-11,25.0,1
171,3.0,4.0,1.0,4.0,11.0,54.0,6.118e-11,7.13e-11,6.624e-11,25.0,1
172,3.0,4.0,1.0,4.0,11.0,57.0,6.125e-11,7.145e-11,6.635e-11,25.0,1
173,3.0,4.0,1.0,4.0,11.0,60.0,6.135e-11,7.16e-11,6.647e-11,25.0,1
174,3.0,4.0,1.0,4.0,11.0,63.0,6.146e-11,7.177e-11,6.662e-11,25.0,1
175,3.0,4.0,1.0,4.0,11.0,66.0,6.159e-11,7.196e-11,6.677e-11,25.0,1
176,3.0,4.0,1.0,4.0,13.0,48.0,6.102e-11,7.102e-11,6.602e-11,25.0,1
177,3.0,4.0,1.0,4.0,13.0,51.0,6.097e-11,7.105e-11,6.601e-11,25.0,1
178,3.0,4.0,1.0,4.0,13.0,54.0,6.097e-11,7.113e-11,6.605e-11,25.0,1
179,3.0,4.0,1.0,4.0,13.0,57.0,6.099e-11,7.122e-11,6.611e-11,25.0,1
180,3.0,4.0,1.0,4.0,13.0,60.0,6.105e-11,7.133e-11,6.619e-11,25.0,1
181,3.0,4.0,1.0,4.0,13.0,63.0,6.112e-11,7.146e-11,6.629e-11,25.0,1
182,3.0,4.0,1.0,4.0,13.0,66.0,6.121e-11,7.16e-11,6.64e-11,25.0,1
183,3.0,4.0,1.0,4.0,15.0,48.0,6.11e-11,7.117e-11,6.613e-11,25.0,1
184,3.0,4.0,1.0,4.0,15.0,51.0,6.102e-11,7.117e-11,6.61e-11,25.0,1
185,3.0,4.0,1.0,4.0,15.0,54.0,6.098e-11,7.12e-11,6.609e-11,25.0,1
186,3.0,4.0,1.0,4.0,15.0,57.0,6.098e-11,7.126e-11,6.612e-11,25.0,1
187,3.0,4.0,1.0,4.0,15.0,60.0,6.1e-11,7.133e-11,6.617e-11,25.0,1
188,3.0,4.0,1.0,4.0,15.0,63.0,6.105e-11,7.142e-11,6.624e-11,25.0,1
189,3.0,4.0,1.0,4.0,15.0,66.0,6.11e-11,7.153e-11,6.632e-11,25.0,1
190,3.0,4.0,2.0,2.0,11.0,48.0,8.573e-11,9.132e-11,8.852e-11,25.0,1
191,3.0,4.0,2.0,2.0,11.0,51.0,8.574e-11,9.143e-11,8.858e-11,25.0,1
192,3.0,4.0,2.0,2.0,11.0,54.0,8.58e-11,9.157e-11,8.868e-11,25.0,1
193,3.0,4.0,2.0,2.0,11.0,57.0,8.589e-11,9.171e-11,8.88e-11,25.0,1
194,3.0,4.0,2.0,2.0,11.0,60.0,8.6e-11,9.188e-11,8.894e-11,25.0,1
195,3.0,4.0,2.0,2.0,11.0,63.0,8.614e-11,9.206e-11,8.91e-11,25.0,1
196,3.0,4.0,2.0,2.0,11.0,66.0,8.628e-11,9.226e-11,8.927e-11,25.0,1
197,3.0,4.0,2.0,2.0,13.0,48.0,8.62e-11,9.171e-11,8.895e-11,25.0,1
198,3.0,4.0,2.0,2.0,13.0,51.0,8.618e-11,9.177e-11,8.897e-11,25.0,1
199,3.0,4.0,2.0,2.0,13.0,54.0,8.62e-11,9.187e-11,8.904e-11,25.0,1
200,3.0,4.0,2.0,2.0,13.0,57.0,8.625e-11,9.197e-11,8.911e-11,25.0,1
201,3.0,4.0,2.0,2.0,13.0,60.0,8.632e-11,9.208e-11,8.92e-11,25.0,1
202,3.0,4.0,2.0,2.0,13.0,63.0,8.642e-11,9.223e-11,8.932e-11,25.0,1
203,3.0,4.0,2.0,2.0,13.0,66.0,8.652e-11,9.237e-11,8.945e-11,25.0,1
204,3.0,4.0,2.0,2.0,15.0,48.0,8.69e-11,9.229e-11,8.959e-11,25.0,1
205,3.0,4.0,2.0,2.0,15.0,51.0,8.684e-11,9.234e-11,8.959e-11,25.0,1
206,3.0,4.0,2.0,2.0,15.0,54.0,8.683e-11,9.239e-11,8.961e-11,25.0,1
207,3.0,4.0,2.0,2.0,15.0,57.0,8.684e-11,9.245e-11,8.965e-11,25.0,1
208,3.0,4.0,2.0,2.0,15.0,60.0,8.689e-11,9.255e-11,8.972e-11,25.0,1
209,3.0,4.0,2.0,2.0,15.0,63.0,8.696e-11,9.265e-11,8.981e-11,25.0,1
210,3.0,4.0,2.0,2.0,15.0,66.0,8.704e-11,9.277e-11,8.991e-11,25.0,1
211,3.0,4.0,2.0,3.0,11.0,48.0,8.405e-11,9.041e-11,8.723e-11,25.0,1
212,3.0,4.0,2.0,3.0,11.0,51.0,8.405e-11,9.049e-11,8.727e-11,25.0,1
213,3.0,4.0,2.0,3.0,11.0,54.0,8.41e-11,9.062e-11,8.736e-11,25.0,1
214,3.0,4.0,2.0,3.0,11.0,57.0,8.418e-11,9.077e-11,8.747e-11,25.0,1
215,3.0,4.0,2.0,3.0,11.0,60.0,8.427e-11,9.092e-11,8.76e-11,25.0,1
216,3.0,4.0,2.0,3.0,11.0,63.0,8.44e-11,9.11e-11,8.775e-11,25.0,1
217,3.0,4.0,2.0,3.0,11.0,66.0,8.454e-11,9.129e-11,8.791e-11,25.0,1
218,3.0,4.0,2.0,3.0,13.0,48.0,8.41e-11,9.043e-11,8.727e-11,25.0,1
219,3.0,4.0,2.0,3.0,13.0,51.0,8.407e-11,9.049e-11,8.728e-11,25.0,1
220,3.0,4.0,2.0,3.0,13.0,54.0,8.407e-11,9.056e-11,8.732e-11,25.0,1
221,3.0,4.0,2.0,3.0,13.0,57.0,8.41e-11,9.066e-11,8.738e-11,25.0,1
222,3.0,4.0,2.0,3.0,13.0,60.0,8.417e-11,9.078e-11,8.747e-11,25.0,1
223,3.0,4.0,2.0,3.0,13.0,63.0,8.425e-11,9.09e-11,8.757e-11,25.0,1
224,3.0,4.0,2.0,3.0,13.0,66.0,8.434e-11,9.104e-11,8.769e-11,25.0,1
225,3.0,4.0,2.0,3.0,15.0,48.0,8.436e-11,9.069e-11,8.753e-11,25.0,1
226,3.0,4.0,2.0,3.0,15.0,51.0,8.429e-11,9.07e-11,8.749e-11,25.0,1
227,3.0,4.0,2.0,3.0,15.0,54.0,8.427e-11,9.074e-11,8.751e-11,25.0,1
228,3.0,4.0,2.0,3.0,15.0,57.0,8.427e-11,9.081e-11,8.754e-11,25.0,1
229,3.0,4.0,2.0,3.0,15.0,60.0,8.43e-11,9.089e-11,8.76e-11,25.0,1
230,3.0,4.0,2.0,3.0,15.0,63.0,8.436e-11,9.098e-11,8.767e-11,25.0,1
231,3.0,4.0,2.0,3.0,15.0,66.0,8.443e-11,9.109e-11,8.776e-11,25.0,1
232,3.0,4.0,2.0,4.0,11.0,48.0,8.363e-11,9.061e-11,8.712e-11,25.0,1
233,3.0,4.0,2.0,4.0,11.0,51.0,8.363e-11,9.071e-11,8.717e-11,25.0,1
234,3.0,4.0,2.0,4.0,11.0,54.0,8.367e-11,9.082e-11,8.724e-11,25.0,1
235,3.0,4.0,2.0,4.0,11.0,57.0,8.373e-11,9.097e-11,8.735e-11,25.0,1
236,3.0,4.0,2.0,4.0,11.0,60.0,8.383e-11,9.112e-11,8.747e-11,25.0,1
237,3.0,4.0,2.0,4.0,11.0,63.0,8.394e-11,9.13e-11,8.762e-11,25.0,1
238,3.0,4.0,2.0,4.0,11.0,66.0,8.408e-11,9.149e-11,8.778e-11,25.0,1
