index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
152,3.0,1.0,4.0,24.0,4.734e-11,3.777e-11,4.255e-11,25.0,1
153,3.0,1.0,4.0,27.0,4.77e-11,3.826e-11,4.298e-11,25.0,1
154,3.0,1.0,4.0,30.0,4.818e-11,3.879e-11,4.349e-11,25.0,1
155,3.0,1.0,4.0,33.0,4.872e-11,3.94e-11,4.406e-11,25.0,1
156,3.0,1.0,5.0,21.0,4.801e-11,3.721e-11,4.261e-11,25.0,1
157,3.0,1.0,5.0,24.0,4.805e-11,3.739e-11,4.272e-11,25.0,1
158,3.0,1.0,5.0,27.0,4.829e-11,3.769e-11,4.299e-11,25.0,1
159,3.0,1.0,5.0,30.0,4.862e-11,3.808e-11,4.335e-11,25.0,1
160,3.0,1.0,5.0,33.0,4.905e-11,3.851e-11,4.378e-11,25.0,1
161,3.0,1.0,6.0,21.0,4.93e-11,3.74e-11,4.335e-11,25.0,1
162,3.0,1.0,6.0,24.0,4.923e-11,3.748e-11,4.335e-11,25.0,1
163,3.0,1.0,6.0,27.0,4.937e-11,3.769e-11,4.353e-11,25.0,1
164,3.0,1.0,6.0,30.0,4.962e-11,3.796e-11,4.379e-11,25.0,1
165,3.0,1.0,6.0,33.0,4.994e-11,3.83e-11,4.412e-11,25.0,1
166,3.0,1.0,7.0,21.0,5.087e-11,3.786e-11,4.436e-11,25.0,1
167,3.0,1.0,7.0,24.0,5.072e-11,3.787e-11,4.429e-11,25.0,1
168,3.0,1.0,7.0,27.0,5.077e-11,3.799e-11,4.438e-11,25.0,1
169,3.0,1.0,7.0,30.0,5.094e-11,3.819e-11,4.457e-11,25.0,1
170,3.0,1.0,7.0,33.0,5.12e-11,3.845e-11,4.482e-11,25.0,1
171,3.0,1.0,8.0,21.0,5.259e-11,3.851e-11,4.555e-11,25.0,1
172,3.0,1.0,8.0,24.0,5.237e-11,3.844e-11,4.541e-11,25.0,1
173,3.0,1.0,8.0,27.0,5.237e-11,3.851e-11,4.544e-11,25.0,1
174,3.0,1.0,8.0,30.0,5.249e-11,3.866e-11,4.557e-11,25.0,1
175,3.0,1.0,8.0,33.0,5.268e-11,3.887e-11,4.577e-11,25.0,1
176,3.0,2.0,4.0,21.0,4.393e-11,3.585e-11,3.989e-11,25.0,1
177,3.0,2.0,4.0,24.0,4.405e-11,3.619e-11,4.012e-11,25.0,1
178,3.0,2.0,4.0,27.0,4.437e-11,3.664e-11,4.05e-11,25.0,1
179,3.0,2.0,4.0,30.0,4.478e-11,3.72e-11,4.099e-11,25.0,1
180,3.0,2.0,4.0,33.0,4.526e-11,3.78e-11,4.153e-11,25.0,1
181,3.0,2.0,5.0,21.0,4.376e-11,3.507e-11,3.941e-11,25.0,1
182,3.0,2.0,5.0,24.0,4.373e-11,3.521e-11,3.947e-11,25.0,1
183,3.0,2.0,5.0,27.0,4.389e-11,3.55e-11,3.969e-11,25.0,1
184,3.0,2.0,5.0,30.0,4.417e-11,3.586e-11,4.002e-11,25.0,1
185,3.0,2.0,5.0,33.0,4.452e-11,3.629e-11,4.041e-11,25.0,1
186,3.0,2.0,6.0,21.0,4.397e-11,3.47e-11,3.934e-11,25.0,1
187,3.0,2.0,6.0,24.0,4.385e-11,3.474e-11,3.93e-11,25.0,1
188,3.0,2.0,6.0,27.0,4.392e-11,3.492e-11,3.942e-11,25.0,1
189,3.0,2.0,6.0,30.0,4.411e-11,3.517e-11,3.964e-11,25.0,1
190,3.0,2.0,6.0,33.0,4.435e-11,3.55e-11,3.993e-11,25.0,1
191,3.0,2.0,7.0,21.0,4.443e-11,3.463e-11,3.953e-11,25.0,1
192,3.0,2.0,7.0,24.0,4.422e-11,3.458e-11,3.94e-11,25.0,1
193,3.0,2.0,7.0,27.0,4.424e-11,3.467e-11,3.945e-11,25.0,1
194,3.0,2.0,7.0,30.0,4.435e-11,3.484e-11,3.96e-11,25.0,1
195,3.0,2.0,7.0,33.0,4.455e-11,3.508e-11,3.982e-11,25.0,1
196,3.0,2.0,8.0,21.0,4.503e-11,3.469e-11,3.986e-11,25.0,1
197,3.0,2.0,8.0,24.0,4.477e-11,3.462e-11,3.97e-11,25.0,1
198,3.0,2.0,8.0,27.0,4.472e-11,3.463e-11,3.968e-11,25.0,1
199,3.0,2.0,8.0,30.0,4.479e-11,3.475e-11,3.977e-11,25.0,1
200,3.0,2.0,8.0,33.0,4.494e-11,3.494e-11,3.994e-11,25.0,1
201,3.0,3.0,4.0,21.0,4.406e-11,3.603e-11,4.004e-11,25.0,1
202,3.0,3.0,4.0,24.0,4.413e-11,3.635e-11,4.024e-11,25.0,1
203,3.0,3.0,4.0,27.0,4.442e-11,3.68e-11,4.061e-11,25.0,1
204,3.0,3.0,4.0,30.0,4.481e-11,3.734e-11,4.107e-11,25.0,1
205,3.0,3.0,4.0,33.0,4.529e-11,3.794e-11,4.161e-11,25.0,1
206,3.0,3.0,5.0,21.0,4.352e-11,3.504e-11,3.928e-11,25.0,1
207,3.0,3.0,5.0,24.0,4.346e-11,3.518e-11,3.932e-11,25.0,1
208,3.0,3.0,5.0,27.0,4.36e-11,3.548e-11,3.954e-11,25.0,1
209,3.0,3.0,5.0,30.0,4.386e-11,3.583e-11,3.984e-11,25.0,1
210,3.0,3.0,5.0,33.0,4.419e-11,3.625e-11,4.022e-11,25.0,1
211,3.0,3.0,6.0,21.0,4.341e-11,3.453e-11,3.897e-11,25.0,1
212,3.0,3.0,6.0,24.0,4.326e-11,3.457e-11,3.891e-11,25.0,1
213,3.0,3.0,6.0,27.0,4.329e-11,3.472e-11,3.9e-11,25.0,1
214,3.0,3.0,6.0,30.0,4.345e-11,3.497e-11,3.921e-11,25.0,1
215,3.0,3.0,6.0,33.0,4.368e-11,3.527e-11,3.948e-11,25.0,1
216,3.0,3.0,7.0,21.0,4.354e-11,3.427e-11,3.89e-11,25.0,1
217,3.0,3.0,7.0,24.0,4.331e-11,3.423e-11,3.877e-11,25.0,1
218,3.0,3.0,7.0,27.0,4.328e-11,3.43e-11,3.879e-11,25.0,1
219,3.0,3.0,7.0,30.0,4.337e-11,3.448e-11,3.892e-11,25.0,1
220,3.0,3.0,7.0,33.0,4.352e-11,3.472e-11,3.912e-11,25.0,1
221,3.0,3.0,8.0,21.0,4.381e-11,3.418e-11,3.9e-11,25.0,1
222,3.0,3.0,8.0,24.0,4.352e-11,3.407e-11,3.88e-11,25.0,1
223,3.0,3.0,8.0,27.0,4.343e-11,3.411e-11,3.877e-11,25.0,1
224,3.0,3.0,8.0,30.0,4.346e-11,3.42e-11,3.883e-11,25.0,1
225,3.0,3.0,8.0,33.0,4.358e-11,3.438e-11,3.898e-11,25.0,1
