index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
88,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,22.0,22.0,71.0,71.0,8.86e-11,8.956e-11,8.908e-11,25.0,1
89,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,22.0,22.0,73.0,73.0,8.863e-11,8.961e-11,8.912e-11,25.0,1
90,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,22.0,22.0,75.0,75.0,8.864e-11,8.965e-11,8.914e-11,25.0,1
91,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,18.0,18.0,67.0,67.0,1.41e-10,1.414e-10,1.412e-10,25.0,1
92,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,18.0,18.0,69.0,69.0,1.41e-10,1.414e-10,1.412e-10,25.0,1
93,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,18.0,18.0,71.0,71.0,1.411e-10,1.415e-10,1.413e-10,25.0,1
94,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,18.0,18.0,73.0,73.0,1.411e-10,1.415e-10,1.413e-10,25.0,1
95,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,18.0,18.0,75.0,75.0,1.411e-10,1.416e-10,1.414e-10,25.0,1
96,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,20.0,20.0,67.0,67.0,1.412e-10,1.415e-10,1.413e-10,25.0,1
97,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,20.0,20.0,69.0,69.0,1.412e-10,1.415e-10,1.414e-10,25.0,1
98,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,20.0,20.0,71.0,71.0,1.413e-10,1.416e-10,1.414e-10,25.0,1
99,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,20.0,20.0,73.0,73.0,1.413e-10,1.416e-10,1.415e-10,25.0,1
100,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,20.0,20.0,75.0,75.0,1.413e-10,1.417e-10,1.415e-10,25.0,1
101,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,22.0,22.0,67.0,67.0,1.415e-10,1.417e-10,1.416e-10,25.0,1
102,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,22.0,22.0,69.0,69.0,1.415e-10,1.417e-10,1.416e-10,25.0,1
103,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,22.0,22.0,71.0,71.0,1.415e-10,1.418e-10,1.416e-10,25.0,1
104,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,22.0,22.0,73.0,73.0,1.416e-10,1.418e-10,1.417e-10,25.0,1
105,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,4.0,4.0,22.0,22.0,75.0,75.0,1.416e-10,1.418e-10,1.417e-10,25.0,1
106,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0,18.0,67.0,67.0,1.41e-10,1.416e-10,1.413e-10,25.0,1
107,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0,18.0,69.0,69.0,1.411e-10,1.416e-10,1.414e-10,25.0,1
108,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0,18.0,71.0,71.0,1.411e-10,1.417e-10,1.414e-10,25.0,1
109,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0,18.0,73.0,73.0,1.412e-10,1.418e-10,1.415e-10,25.0,1
110,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0,18.0,75.0,75.0,1.412e-10,1.418e-10,1.415e-10,25.0,1
111,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,20.0,20.0,67.0,67.0,1.412e-10,1.416e-10,1.414e-10,25.0,1
112,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,20.0,20.0,69.0,69.0,1.412e-10,1.416e-10,1.414e-10,25.0,1
113,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,20.0,20.0,71.0,71.0,1.412e-10,1.417e-10,1.414e-10,25.0,1
114,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,20.0,20.0,73.0,73.0,1.412e-10,1.417e-10,1.415e-10,25.0,1
115,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,20.0,20.0,75.0,75.0,1.412e-10,1.418e-10,1.415e-10,25.0,1
116,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,22.0,22.0,67.0,67.0,1.413e-10,1.417e-10,1.415e-10,25.0,1
117,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,22.0,22.0,69.0,69.0,1.413e-10,1.417e-10,1.415e-10,25.0,1
118,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,22.0,22.0,71.0,71.0,1.413e-10,1.418e-10,1.416e-10,25.0,1
119,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,22.0,22.0,73.0,73.0,1.414e-10,1.418e-10,1.416e-10,25.0,1
120,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,22.0,22.0,75.0,75.0,1.414e-10,1.419e-10,1.416e-10,25.0,1
121,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,18.0,18.0,67.0,67.0,1.415e-10,1.421e-10,1.418e-10,25.0,1
122,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,18.0,18.0,69.0,69.0,1.415e-10,1.422e-10,1.419e-10,25.0,1
123,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,18.0,18.0,71.0,71.0,1.415e-10,1.423e-10,1.419e-10,25.0,1
124,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,18.0,18.0,73.0,73.0,1.416e-10,1.423e-10,1.419e-10,25.0,1
125,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,18.0,18.0,75.0,75.0,1.416e-10,1.424e-10,1.42e-10,25.0,1
126,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,20.0,20.0,67.0,67.0,1.415e-10,1.421e-10,1.418e-10,25.0,1
127,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,20.0,20.0,69.0,69.0,1.415e-10,1.422e-10,1.418e-10,25.0,1
128,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,20.0,20.0,71.0,71.0,1.415e-10,1.422e-10,1.419e-10,25.0,1
129,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,20.0,20.0,73.0,73.0,1.416e-10,1.422e-10,1.419e-10,25.0,1
