index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
100,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,22.0,22.0,71.0,71.0,6.269e-11,5.39e-11,5.829e-11,25.0,1
101,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,22.0,22.0,75.0,75.0,6.272e-11,5.398e-11,5.835e-11,25.0,1
102,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,22.0,22.0,79.0,79.0,6.277e-11,5.406e-11,5.842e-11,25.0,1
103,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,24.0,24.0,71.0,71.0,6.274e-11,5.39e-11,5.832e-11,25.0,1
104,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,24.0,24.0,75.0,75.0,6.275e-11,5.396e-11,5.835e-11,25.0,1
105,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,24.0,24.0,79.0,79.0,6.279e-11,5.403e-11,5.841e-11,25.0,1
106,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,26.0,26.0,71.0,71.0,6.283e-11,5.395e-11,5.839e-11,25.0,1
107,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,26.0,26.0,75.0,75.0,6.283e-11,5.399e-11,5.841e-11,25.0,1
108,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,8.0,8.0,26.0,26.0,79.0,79.0,6.285e-11,5.406e-11,5.845e-11,25.0,1
109,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,22.0,22.0,71.0,71.0,5.864e-11,4.887e-11,5.376e-11,25.0,1
110,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,22.0,22.0,75.0,75.0,5.868e-11,4.896e-11,5.382e-11,25.0,1
111,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,22.0,22.0,79.0,79.0,5.874e-11,4.905e-11,5.39e-11,25.0,1
112,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,24.0,24.0,71.0,71.0,5.876e-11,4.892e-11,5.384e-11,25.0,1
