index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
1168,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,71.0,71.0,6.105e-11,5.478e-11,5.792e-11,25.0,1
1169,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,75.0,75.0,6.106e-11,5.483e-11,5.795e-11,25.0,1
1170,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,79.0,79.0,6.11e-11,5.49e-11,5.8e-11,25.0,1
1171,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,71.0,71.0,6.064e-11,5.466e-11,5.765e-11,25.0,1
1172,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,75.0,75.0,6.067e-11,5.473e-11,5.77e-11,25.0,1
1173,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,79.0,79.0,6.073e-11,5.483e-11,5.778e-11,25.0,1
1174,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,71.0,71.0,6.07e-11,5.466e-11,5.768e-11,25.0,1
1175,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,75.0,75.0,6.072e-11,5.472e-11,5.772e-11,25.0,1
1176,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,79.0,79.0,6.077e-11,5.48e-11,5.778e-11,25.0,1
1177,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,71.0,71.0,6.082e-11,5.471e-11,5.777e-11,25.0,1
1178,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,75.0,75.0,6.083e-11,5.476e-11,5.779e-11,25.0,1
1179,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,79.0,79.0,6.085e-11,5.483e-11,5.784e-11,25.0,1
1180,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,71.0,71.0,6.069e-11,5.483e-11,5.776e-11,25.0,1
1181,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,75.0,75.0,6.073e-11,5.491e-11,5.782e-11,25.0,1
1182,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,79.0,79.0,6.078e-11,5.5e-11,5.789e-11,25.0,1
1183,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,71.0,71.0,6.072e-11,5.48e-11,5.776e-11,25.0,1
1184,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,75.0,75.0,6.073e-11,5.486e-11,5.78e-11,25.0,1
1185,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,79.0,79.0,6.077e-11,5.494e-11,5.785e-11,25.0,1
1186,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,71.0,71.0,6.079e-11,5.482e-11,5.78e-11,25.0,1
1187,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,75.0,75.0,6.079e-11,5.487e-11,5.783e-11,25.0,1
1188,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,79.0,79.0,6.081e-11,5.493e-11,5.787e-11,25.0,1
1189,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,71.0,71.0,6.083e-11,5.449e-11,5.766e-11,25.0,1
1190,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,75.0,75.0,6.088e-11,5.458e-11,5.773e-11,25.0,1
1191,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,79.0,79.0,6.093e-11,5.467e-11,5.78e-11,25.0,1
1192,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,71.0,71.0,6.095e-11,5.454e-11,5.774e-11,25.0,1
