index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
58,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,19.0,19.0,67.0,67.0,4.788e-11,5.667e-11,5.227e-11,25.0,1
59,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,19.0,19.0,69.0,69.0,4.79e-11,5.671e-11,5.231e-11,25.0,1
60,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,19.0,19.0,71.0,71.0,4.794e-11,5.677e-11,5.235e-11,25.0,1
61,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,15.0,15.0,63.0,63.0,4.722e-11,5.632e-11,5.177e-11,25.0,1
62,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,15.0,15.0,65.0,65.0,4.725e-11,5.638e-11,5.182e-11,25.0,1
63,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,15.0,15.0,67.0,67.0,4.729e-11,5.646e-11,5.187e-11,25.0,1
64,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,15.0,15.0,69.0,69.0,4.735e-11,5.654e-11,5.194e-11,25.0,1
65,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,15.0,15.0,71.0,71.0,4.74e-11,5.663e-11,5.201e-11,25.0,1
66,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,17.0,17.0,63.0,63.0,4.716e-11,5.615e-11,5.166e-11,25.0,1
67,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,17.0,17.0,65.0,65.0,4.718e-11,5.62e-11,5.169e-11,25.0,1
68,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,17.0,17.0,67.0,67.0,4.721e-11,5.627e-11,5.174e-11,25.0,1
69,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,17.0,17.0,69.0,69.0,4.725e-11,5.632e-11,5.178e-11,25.0,1
